QUESTION,BT LEVEL
Suggest THREE (3) ethical considerations that ANA advertisers should take into account in designing commercials.,SYNTHESIS
Create a poster that promote jeans to local senior citizen which appeal directly to a multiracial citizen in Malaysia.,SYNTHESIS
Select a local 'HOMEGROWN' brand and discuss its international marketing mix.,COMPREHENSION
Critically discuss FOUR (4) main dimensions that used to  classify countries based on Hofstede's Cultural Dimensions Theory.,ANALYSIS
Compare and contrast between low context cultures and high context cultures. ,ANALYSIS
Critically discuss the THREE (3) options in handling the international media planning or buying.,ANALYSIS
Design an ideal newspaper organisational chart. Then describe the functions of the respective departments and how they relate to each other � horizontally and vertically.,SYNTHESIS
Demonstrate email and social media approaches to create effective marketing plan.,APPLY
Examine the two roles and show how newspaper managers can successfully draw a balance between their economic role and social role.   ,ANALYSIS
Suggest a house-style and editorial policies for your newly introduced newspaper targeted at young readers aged between 15 to 25 years.,SYNTHESIS
Examine how conventional newspaper can continue to maintain its circulation with the easy access to alternative information on the web.,ANALYSIS
"As an editor-in-chief, suggest how you can motivate your experienced journalists to remain with your paper.",SYNTHESIS
Discuss the factors that you think may have affected the quality of newspapers in Malaysia and identify the key elements for a successful newspaper .,ANALYSIS
List any five departments and discuss the relations between these departments and the importance of depending on each other.,ANALYSIS
PEST and SWOT are popular strategy tools. Discuss how the TWO(2) tools can be applied in manufacturing business environment.,APPLY
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",EVALUATE
Prepare a research  proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the Klang Valley.,SYNTHESIS
Evaluate the need for ethics in research.,EVALUATE
Explain the case study research method and distinguish between single and multiple case study design.,ANALYSIS
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,EVALUATE
Differentiate between qualitative research and quantitative research in terms of their goal and design.,ANALYSIS
Develop a questionnaire based on at least FOUR open-ended and FOUR closed-ended questions for the interviews.,SYNTHESIS
Analyze the purpose of having a Purchasing Department in an organization.,ANALYSIS
Distinguish Paradox of the Commons from Tragedy of the Commons.,ANALYSIS
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,EVALUATE
"Advise the five steps, as recommended by Porter and Millar, that can be applied by business managers in taking advantage of information technology.",SYNTHESIS
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,EVALUATE
"Davenport (2000) discusses four emerging trends to be considered in designing future enterprise systems. Analyze each emerging trend, its relevance and importance to the designing of future enterprise systems.",ANALYSIS
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,APPLY
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,EVALUATE
PERCEPTION STUDIES based on SURVEY METHOD are useful and common in both academic and market research. Critically evaluate the strategies used  in data collection that can increase the response rate when conducting a survey.,EVALUATE
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,EVALUATE
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",EVALUATE
Leaders  often  face  a  dilemma  because  of  a  perceived  conflict  between  the realm of business and the realm of ethics. Compare the characteristics  of leaders who follow a strict rational  self-interest  approach  with  those  who take an ethical approach.,ANALYSIS
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,EVALUATE
Distinguish clearly between power and authority.,ANALYSIS
Evaluate the types of power Benjamin Fang is exercising in Sun Plantations and explain how this is being eroded by the changes taking place in the environment.,EVALUATE
Discuss the extent to which the existence of a conflict between a company's objectives is acceptable.,EVALUATE
Discuss and show the impact of CRM strategies in the telecommunication sector.,APPLY
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",EVALUATE
"Identify and recommend any appropriate amendments to the proposal presented in order to rectify the errors made in estimating the company's current cost of capital and current value. For each of the revisions, explain the reasons why it should be amended.",EVALUATE
"Recommend with justification, a value or range of values to the Board of Directors for the acquisition of ESL Berhad.",EVALUATE
"Compare how the internal rate of return (IRR) method, Net Present Value (NPV) and modified internal rate of return (MIRR) method is different.",ANALYSIS
Analyze the product-market options that are available to Associated Meats Sdn Bhd.,ANALYSIS
Use philanthropy approach to manage corporate social responsibility effectively.,APPLY
"Critically review the strengths, weaknesses,  opportunities and threats of Associated Meats Sdn Bhd in light of the forecast trends and developments.",EVALUATE
"Critically appraise the five competitive forces encased within Porter's ""Five Forces"" model within the context of a profit-oriented organisation and discuss the threat posed to the firm by each of these forces.",EVALUATE
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",EVALUATE
Synthesize any FIVE (5) factors that  should be considered  when  devising a safe system to undertake a task in an organization.,SYNTHESIS
Synthesize the need for ventilation as an engineering control.,SYNTHESIS
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,EVALUATE
List FIVE (5) functions of Department of Safety and Health as outline in OSHA 1994.,KNOWLEDGE
Define the term project in the context of project management.,KNOWLEDGE
Define standard operating procedures as highlighted.,KNOWLEDGE
Show in a step by step manner how TQM can be implemented successfully in education sector.,APPLY
Compare FOUR (4) point of views of entrepreneurs with FOUR (4) for managers the way they look at the things.,ANALYSIS
Being a technopreneur means dealing with innovation. Define what innovation is and also propose FOUR (4) types of innovations you can have in your organization.,SYNTHESIS
Presenting the business plan is very crucial to convince potential consumers and financers. List any SEVEN (7) suggestions for good presentation of your business plan.,KNOWLEDGE
List the advantages and disadvantages of Public Offering.,KNOWLEDGE
Show your calculations for all THREE (3) options and then discuss which one of the options you prefer.,ANALYSIS
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,EVALUATE
Define brand audit.,KNOWLEDGE
Explain how Porter's concept can be used in education domain.,APPLY
Discuss how Resource Based View can be implemented in organizations to reinforce financial standing.,APPLY
Explain how SWOT and Porter's techniques is applied in the manufacturing industries.,APPLY
Determine  which  sub-stage that the  deal  is currently  in for the  following cases.,APPLY
Explain Greimas square tool and discuss how it can be applied the aviation industry.,APPLY
Briefly  discuss  how  TQM  could  be  applied  m  the  management  of  the newspapers' editorials.,APPLY
Show how NLP techniques can be deployed in business.,APPLY
Demonstrate email and social media approaches to create effective marketing plan.,APPLY
PEST and SWOT are popular strategy tools. Discuss how the TWO(2) tools can be applied in manufacturing business environment.,APPLY
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,APPLY
Briefly  discuss  how  TQM  could  be  applied  m  the  management  of  the newspapers' editorials.,APPLY
"As a manager in an Information Technology firm, suggest and elaborate any THREE (3) actions that organizations can take as part of the responsibility towards the society.",SYNTHESIS
Suggest and elaborate any TWO (2) efforts or methods that your company may use in order to gain competitive advantage over your competitors.,SYNTHESIS
Explain each inventory control method and suggest TWO (2) types of products for each method.,SYNTHESIS
Discover FOUR (4) characteristic of IT infrastructure to be considered.,SYNTHESIS
Suggest a house-style and editorial policies for your newly introduced newspaper targeted at young readers aged between 15 to 25 years.,SYNTHESIS
"As an editor-in-chief, suggest how you can motivate your experienced journalists to remain with your paper.",SYNTHESIS
Prepare a research  proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the Klang Valley.,SYNTHESIS
Develop a questionnaire based on at least FOUR open-ended and FOUR closed-ended questions for the interviews.,SYNTHESIS
