A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
A broad appreciation of the psychological and socio-cultural mechanisms underpinning understandings of the self and interactions with others.,19,99,85.38,50.35,97.58,19,36.84,84.21,47.37,5.26,0,0,0,0,0,0,5.26,15.79,15.79,0,0,10.53,0,0,5.26,0,0,0,0,5.26,5.26,0,0,0,0,15.79,0,0,0,0,15.79,10.53,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,5.26,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.53,5.26,0,0,0,0,0,5.26,0,0,0,0
A capacity to describe and understand a variety of methods used to value the environment;,15,99,50,43.37,99,15,40,93.33,46.67,0,0,0,0,0,0,0,0,20,20,0,0,6.67,0,20,6.67,6.67,0,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,13.33,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,13.33,0,13.33,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,6.67,0,0,0,0,0,0,0
"A capacity to design, manage, and carry out a research project.",11,99,50,85.21,25.77,11,27.27,90.91,45.45,0,0,0,0,0,0,0,0,18.18,18.18,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,9.09,0,27.27,9.09,18.18,0,27.27,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,18.18,0,0,0,0,0,0,0,0,0
"A capacity to work effectively as a member of a team through well-developed skills in job planning, time management, problem solving, critical thinking and the organisation of work;",29,99,75.49,26.55,1,29,37.93,96.55,41.38,0,0,0,0,0,0,0,0,13.79,20.69,0,3.45,6.9,0,6.9,3.45,3.45,0,0,0,10.34,3.45,6.9,0,3.45,0,6.9,0,0,0,0,13.79,10.34,6.9,3.45,0,0,0,0,0,0,0,0,0,0,0,0,31.03,6.9,20.69,3.45,0,3.45,0,6.9,3.45,10.34,0,6.9,3.45,24.14,3.45,0,0,0,0,3.45,0,0,0,3.45,0,17.24,0,10.34,0,3.45,0,0,3.45,0,0,0,0
"A clear understanding of how traumatic memory shapes the representation of violence and suffering from an international perspective, through fiction and non-fiction writing (including novels, memoirs and works of historiography); film and television; museums and memorials; and photography, painting, and other media.",43,90.82,40.82,21.56,1,43,44.19,83.72,41.86,2.33,0,0,0,0,0,0,2.33,6.98,13.95,0,2.33,18.6,0,6.98,2.33,0,2.33,0,0,6.98,0,6.98,0,0,2.33,0,0,0,0,0,13.95,6.98,2.33,0,0,2.33,2.33,4.65,4.65,0,0,0,0,0,0,0,2.33,0,2.33,0,0,0,0,2.33,0,6.98,0,4.65,2.33,4.65,9.3,0,0,0,2.33,0,0,0,0,0,0,25.58,2.33,9.3,0,6.98,0,0,2.33,0,0,4.65,0
A critical awareness of the issues surrounding contemporary forms and styles of environmental governance.,14,99,50,52.86,1,14,42.86,71.43,35.71,0,0,0,0,0,0,0,0,14.29,14.29,0,0,7.14,0,0,0,0,0,0,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,0,14.29,0,14.29,0,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
"A critical sense of the development of the broad field of travel and representation, with knowledge of the diversity of modes and discourses it encompasses",25,99,50,43.37,1,25,28,80,52,4,0,0,0,0,0,0,4,16,24,0,0,8,0,4,4,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,8,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,4,8,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
A critical understanding of cultural diversity in contemporary Australia.,9,99,86.68,58.07,1,9,66.67,66.67,33.33,0,0,0,0,0,0,0,0,11.11,22.22,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,11.11,0,11.11,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
A critical understanding of the functioning of the three elements of the criminal justice system and of the system as a whole;,22,99,50,1,1,22,27.27,81.82,54.55,0,0,0,0,0,0,0,0,27.27,22.73,0,0,9.09,0,0,4.55,4.55,0,4.55,4.55,4.55,0,4.55,0,4.55,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,4.55,0,0,0,0,0,0,0
A critical understanding of the place and function of sensible form in art theory;,14,99,50,52.86,1,14,28.57,78.57,42.86,0,0,0,0,0,0,0,0,14.29,21.43,0,0,7.14,0,0,0,0,0,0,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,14.29,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,7.14,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0
A critical understanding of the role specific disasters and disasters in general have played in the development of global society;,20,99,84.14,43.37,1,20,40,100,45,0,0,0,0,0,0,0,0,15,20,5,0,5,0,10,10,0,0,0,0,20,5,15,0,5,0,10,0,0,0,0,10,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,5,5,0,15,0,15,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0
A critical understanding of the various facets of crime and the crime problem particularly from an African perspective;,18,99,50,1,1,18,38.89,77.78,50,0,0,0,0,0,0,0,0,22.22,16.67,0,5.56,5.56,0,0,5.56,5.56,0,0,5.56,11.11,0,11.11,0,5.56,0,0,0,0,0,0,22.22,11.11,0,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,5.56,0,0,0,0,0,0,0
A critical understanding of the various interpretations that inform the historical and contemporary analysis of these phenomena;,17,99,72.17,91.95,1,17,47.06,88.24,47.06,11.76,0,0,0,0,0,0,11.76,17.65,11.76,0,0,5.88,0,5.88,5.88,5.88,0,0,5.88,5.88,0,5.88,0,5.88,0,5.88,0,0,0,0,23.53,23.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,5.88,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,5.88,0,0,0,0,0,0,0
A critical understanding of this fascinating society and its historiography,10,78.3,84.14,43.37,1,10,50,90,50,20,0,0,0,0,0,0,20,10,10,0,0,10,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A deeper critical understanding of their own and other people's social identities,12,81.63,95.2,74.76,1,12,33.33,83.33,41.67,16.67,8.33,0,0,0,0,8.33,8.33,8.33,8.33,0,0,8.33,0,0,8.33,8.33,0,0,0,8.33,0,8.33,0,8.33,0,25,0,0,0,0,16.67,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0
"A deeper knowledge of the concepts of modernity and tradition, and the problems of cultural ownership and authenticity, and an understanding of contemporary issues regarding copyright law;",27,99,77.05,4.97,1,27,44.44,81.48,48.15,0,0,0,0,0,0,0,0,14.81,18.52,0,0,14.81,0,0,3.7,3.7,0,0,0,3.7,0,3.7,0,0,0,7.41,0,0,0,0,11.11,7.41,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,14.81,3.7,0,7.41,0,3.7,0,0,0,7.41,0,3.7,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,11.11,0,7.41,0,3.7,0,0,0,0,0,0,0
a demonstrated ability to apply the methodology of materials and process selection for agiven engineering application,16,99,50,1,25.77,16,50,50,37.5,0,0,0,0,0,0,0,0,12.5,18.75,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a demonstrated ability to apply the principles of microstructural design for mechanicalapplications,12,99,50,1,25.77,12,41.67,50,41.67,0,0,0,0,0,0,0,0,16.67,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a demonstrated ability to communicate in both written and verbal form the physicalmetallurgy of different alloys classes.,17,99,50,28.81,25.77,17,41.18,70.59,35.29,0,0,0,0,0,0,0,0,11.76,17.65,0,0,5.88,0,5.88,5.88,5.88,0,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,5.88,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,11.76,5.88,5.88,0,0,0,5.88,0,0,11.76,0,11.76,0,11.76,0,0,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0
A demonstrated ability to conduct comparative studies;,7,99,50,1,25.77,7,71.43,71.43,28.57,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,0,0,0,0,0,0
"A demonstrated ability to critically analyse and compare practical and policy responses to contemporary challenges of crime, justice and development in different jurisdictions;",23,98.23,33.19,9.25,93.61,23,56.52,78.26,34.78,0,0,0,0,0,0,0,0,4.35,17.39,0,0,13.04,0,0,13.04,8.7,0,0,0,4.35,4.35,0,0,0,0,0,0,0,0,0,13.04,4.35,4.35,0,0,0,4.35,0,0,0,0,0,0,0,0,0,17.39,0,8.7,8.7,0,0,0,0,0,4.35,0,4.35,0,17.39,0,0,0,0,0,0,0,0,0,0,0,8.7,0,4.35,0,4.35,0,0,0,0,0,0,0
a detailed appreciation of the combinations of mechanical properties exhibited by engineering alloys and how these compare with other materials classes,21,96.66,31.71,2.82,95.81,21,47.62,61.9,47.62,9.52,0,0,0,0,0,0,9.52,9.52,19.05,0,4.76,9.52,0,0,4.76,4.76,4.76,0,0,4.76,4.76,0,0,0,0,0,0,0,0,0,14.29,4.76,4.76,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A detailed understanding of a key issue or debate in the discipline.,12,99,50,74.76,25.77,12,25,66.67,50,0,0,0,0,0,0,0,0,25,16.67,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,16.67,8.33,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
A developed capacity to undertake original research on an area of their particular interest;,14,99,76.25,52.86,99,14,50,92.86,42.86,7.14,7.14,0,0,0,0,7.14,0,14.29,21.43,0,0,0,0,0,14.29,7.14,0,0,0,14.29,14.29,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,0,21.43,0,14.29,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0
"A focus upon the production of scholarly research as the end point of a process of reading, discussion, drafting and debate.",21,99,82.96,13.15,25.77,21,33.33,85.71,47.62,0,0,0,0,0,0,0,0,19.05,23.81,0,0,9.52,0,4.76,9.52,4.76,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,9.52,4.76,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,4.76,9.52,0,0,0,0,0,0,0,0,0
